rank,nome,avaliacao
1,Gloomhaven,8.74
2,Pandemic Legacy: Season 1,8.59
3,Brass: Birmingham,8.66
4,Terraforming Mars,8.41
5,Gloomhaven: Jaws of the Lion,8.66
6,Twilight Imperium: Fourth Edition,8.67
7,Gaia Project,8.47
8,Star Wars: Rebellion,8.42
9,Through the Ages: A New Story of Civilization,8.38
10,War of the Ring: Second Edition,8.51
11,Spirit Island,8.36
12,Great Western Trail,8.29
13,Twilight Struggle,8.28
14,Scythe,8.22
15,The Castles of Burgundy,8.13
16,Dune: Imperium,8.33
17,Nemesis,8.38
18,7 Wonders Duel,8.11
19,Concordia,8.12
20,Brass: Lancashire,8.18
21,Terra Mystica,8.12
22,A Feast for Odin,8.21
23,Wingspan,8.10
24,Arkham Horror: The Card Game,8.16
25,Viticulture Essential Edition,8.05
26,Root,8.10
27,Orléans,8.07
28,Everdell,8.10
29,Mage Knight Board Game,8.10
30,Clank!: Legacy – Acquisitions Incorporated,8.68
31,Eclipse: Second Dawn for the Galaxy,8.66
32,Lost Ruins of Arnak,8.12
33,Food Chain Magnate,8.12
34,Puerto Rico,7.96
35,Caverna: The Cave Farmers,8.00
36,Blood Rage,7.99
37,Marvel Champions: The Card Game,8.20
38,Too Many Bones,8.43
39,Agricola,7.92
40,Maracaibo,8.18
41,Barrage,8.22
42,Pandemic Legacy: Season 2,8.10
43,Mansions of Madness: Second Edition,8.02
44,Underwater Cities,8.10
45,The Crew: The Quest for Planet Nine,7.95
46,Pax Pamir: Second Edition,8.36
47,Anachrony,8.11
48,Tzolk'in: The Mayan Calendar,7.89
49,Power Grid,7.84
50,Kingdom Death: Monster,8.59
51,Clans of Caledonia,7.98
52,Mechs vs. Minions,8.02
53,On Mars,8.25
54,Star Wars: Imperial Assault,7.99
55,The 7th Continent,8.02
56,Le Havre,7.87
57,The Quacks of Quedlinburg,7.85
58,The Gallerist,8.05
59,Lisboa,8.20
60,Azul,7.79
61,Crokinole,7.95
62,Eclipse,7.87
63,Through the Ages: A Story of Civilization,7.90
64,Android: Netrunner,7.87
65,Aeon's End,8.00
66,Paladins of the West Kingdom,8.03
67,Race for the Galaxy,7.76
68,Fields of Arle,8.08
69,Clank!: A Deck-Building Adventure,7.82
70,Robinson Crusoe: Adventures on the Cursed Island,7.81
71,Teotihuacan: City of Gods,7.92
72,The Voyages of Marco Polo,7.84
73,Pandemic Legacy: Season 0,8.62
74,Five Tribes,7.78
75,7 Wonders,7.73
76,Agricola (Revised Edition),7.99
77,Lords of Waterdeep,7.75
78,Dominant Species,7.83
79,Grand Austria Hotel,7.88
80,Tainted Grail: The Fall of Avalon,8.24
81,Architects of the West Kingdom,7.80
82,Keyflower,7.78
83,El Grande,7.75
84,Caylus,7.75
85,Battlestar Galactica: The Board Game,7.74
86,Twilight Imperium: Third Edition,7.82
87,Troyes,7.75
88,Dominion: Intrigue,7.71
89,Mombasa,7.87
90,The Lord of the Rings: Journeys in Middle-Earth,8.00
91,Eldritch Horror,7.78
92,Raiders of the North Sea,7.77
93,Rising Sun,7.83
94,Lorenzo il Magnifico,7.88
95,Patchwork,7.63
96,Russian Railroads,7.76
97,The Isle of Cats,7.89
98,Tigris & Euphrates,7.70
99,The Crew: Mission Deep Sea,8.43
100,Decrypto,7.79
101,Trajan,7.76
102,Inis,7.81
103,Ark Nova,8.71
104,Codenames,7.59
105,Roll for the Galaxy,7.64
106,Dominion,7.61
107,Clank! In! Space!: A Deck-Building Adventure,7.84
108,Champions of Midgard,7.76
109,Kanban EV,8.61
110,Pandemic,7.58
111,Yokohama,7.84
112,Cartographers,7.71
113,Pandemic: Iberia,7.91
114,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.70
115,Aeon's End: War Eternal,8.36
116,Forbidden Stars,7.97
117,Trickerion: Legends of Illusion,7.94
118,Cthulhu: Death May Die,8.15
119,Kemet,7.70
120,PARKS,7.78
121,Vinhos Deluxe Edition,8.16
122,Res Arcana,7.74
123,Cascadia,8.08
124,Alchemists,7.67
125,Endeavor: Age of Sail,7.97
126,Age of Steam,7.80
127,Legendary Encounters: An Alien Deck Building Game,7.77
128,Star Realms,7.58
129,Star Wars: X-Wing Miniatures Game,7.67
130,Stone Age,7.55
131,Targi,7.64
132,Watergate,7.90
133,It's a Wonderful World,7.81
134,Hansa Teutonica,7.69
135,Ticket to Ride: Europe,7.54
136,Beyond the Sun,8.02
137,Welcome To...,7.59
138,Istanbul,7.57
139,Sleeping Gods,8.50
140,That's Pretty Clever!,7.62
141,Descent: Journeys in the Dark (Second Edition),7.66
142,The Lord of the Rings: The Card Game,7.66
143,Azul: Summer Pavilion,7.76
144,Chaos in the Old World,7.67
145,War of the Ring,7.77
146,Just One,7.62
147,Rajas of the Ganges,7.73
148,Xia: Legends of a Drift System,7.88
149,The Quest for El Dorado,7.63
150,Jaipur,7.50
151,Marco Polo II: In the Service of the Khan,8.07
152,Dead of Winter: A Crossroads Game,7.53
153,Concordia Venus,8.34
154,Railways of the World,7.68
155,Memoir '44,7.56
156,The Resistance: Avalon,7.56
157,Horrified,7.77
158,Castles of Mad King Ludwig,7.54
159,Magic: The Gathering,7.54
160,Ora et Labora,7.70
161,Dinosaur Island,7.67
162,Viscounts of the West Kingdom,7.97
163,A Game of Thrones: The Board Game (Second Edition),7.57
164,Cosmic Encounter,7.54
165,Obsession,8.37
166,Sagrada,7.51
167,Glen More II: Chronicles,7.99
168,This War of Mine: The Board Game,7.80
169,Praga Caput Regni,8.08
170,Sekigahara: The Unification of Japan,8.02
171,Commands & Colors: Ancients,7.77
172,Suburbia,7.50
173,Near and Far,7.76
174,Ticket to Ride: Nordic Countries,7.63
175,Calico,7.74
176,Village,7.51
177,The Search for Planet X,8.14
178,Captain Sonar,7.55
179,Combat Commander: Europe,7.94
180,Tyrants of the Underdark,7.91
181,Nations,7.63
182,Star Realms: Colony Wars,7.84
183,Coimbra,7.67
184,Detective: A Modern Crime Board Game,7.80
